Price,Rooms & Living Space Details,Address
CHF 3’720.– / Monat,6.5 Zimmer 135m² Wohnfläche,"Ringstrasse 70, 8057 Zürich"
CHF 7’750.– / Monat,7.5 Zimmer 180m² Wohnfläche,"DUFOURSTRASSE 179, 8008 Zürich"
CHF 4’660.– / Monat,5 Zimmer 139m² Wohnfläche,"Weggengasse 6, 8001 Zürich"
CHF 8’630.– / Monat,7.5 Zimmer 160m² Wohnfläche,"Carmenstrasse, 8032 Zürich"
CHF 2’490.– / Monat,2 Zimmer 64m² Wohnfläche,"Seefeldstrasse 255A, 8008 Zürich"
CHF 5’650.– / Monat,6.5 Zimmer 180m² Wohnfläche,8049 Zürich
CHF 5’500.– / Monat,4.5 Zimmer 145m² Wohnfläche,"Gablerstrasse 36, 8002 Zürich"
CHF 6’990.– / Monat,6 Zimmer 170m² Wohnfläche,"Höhenweg 19, 8032 Zürich"
CHF 7’360.– / Monat,8 Zimmer 200m² Wohnfläche,"Hinterbergstrasse 69, 8044 Zürich"
CHF 1’470.– / Monat,2 Zimmer 50m² Wohnfläche,"Beckhammer 19, 8057 Zürich"
CHF 2’490.– / Monat,3.5 Zimmer 77m² Wohnfläche,"Sädlenweg, 8055 Zürich"
CHF 7’360.– / Monat,7.5 Zimmer 173m² Wohnfläche,"Bolleystrasse 15, 8006 Zürich"
CHF 5’500.– / Monat,6.5 Zimmer 189m² Wohnfläche,"Hofstrasse 124, 8044 Zürich"
CHF 9’790.– / Monat,7.5 Zimmer 200m² Wohnfläche,"Landoltstrasse1, 8006 Zürich"
CHF 3’720.– / Monat,3 Zimmer 150m² Wohnfläche,"Seebacherstrasse 36, 8052 Zürich"
CHF 3’860.– / Monat,4.5 Zimmer 87m² Wohnfläche,"Rindermarkt 12, 8001 Zürich"
CHF 8’590.– / Monat,11.5 Zimmer 320m² Wohnfläche,8038 Zürich
CHF 6’430.– / Monat,7.5 Zimmer,"Schulhausstrasse 55, 8002 Zürich"
CHF 5’870.– / Monat,7.5 Zimmer 150m² Wohnfläche,"Eichrainstrasse 29, 8052 Zürich"
CHF 2’700.– / Monat,4.5 Zimmer 120m² Wohnfläche,"Imbisbühlstrasse 149, 8049 Zürich"
CHF 5’720.– / Monat,6.5 Zimmer 154m² Wohnfläche,"Lindenbachstrasse, 8006 Zürich"
CHF 4’720.– / Monat,6.5 Zimmer 139m² Wohnfläche,"Badenerstrasse 672, 8048 Zürich"
CHF 5’780.– / Monat,3.5 Zimmer 141m² Wohnfläche,"Kreuzstrasse, 8008 Zürich"
CHF 5’330.– / Monat,6.5 Zimmer 180m² Wohnfläche,"Sempacherstrasse 23, 8032 Zürich"
CHF 4’220.– / Monat,6.5 Zimmer 185m² Wohnfläche,"Birchstrasse 18, 8057 Zürich"
CHF 5’330.– / Monat,6.5 Zimmer 185m² Wohnfläche,"Letzigraben 107A, 8047 Zürich"
CHF 3’880.– / Monat,3 Zimmer 97m² Wohnfläche,"Wipkingerweg 12, 8037 Zürich"
CHF 2’970.– / Monat,3 Zimmer 135m² Wohnfläche,"Nussbaumstrasse 12, 8003 Zürich"
CHF 3’690.– / Monat,3 Zimmer 97m² Wohnfläche,"Mutschellenstrasse 17, 8002 Zürich"
CHF 5’130.– / Monat,5 Zimmer 131m² Wohnfläche,"Badenerstrasse 310, 8004 Zürich"
CHF 7’860.– / Monat,7.5 Zimmer,"Fritz-Fleiner-Weg 7, 8044 Zürich"
CHF 3’750.– / Monat,5 Zimmer 116m² Wohnfläche,"Altstetterstrasse 203, Zürich, Schweiz, 8048 Zürich"
CHF 3’120.– / Monat,3 Zimmer 135m² Wohnfläche,"Rosengartenstrasse 55, 8037 Zürich"
CHF 8’140.– / Monat,4.5 Zimmer 160m² Wohnfläche,"Spitalgasse 2, 8001 Zurich"
CHF 5’070.– / Monat,4.5 Zimmer 173m² Wohnfläche,"Zwinglistrasse 27, 8004 Zurich"
CHF 5’920.– / Monat,6.5 Zimmer 170m² Wohnfläche,"Hofstrasse 64, 8032 Zürich"
CHF 530.– / Monat,2 Zimmer 54m² Wohnfläche,"Bucheggstrasse 4, 8037 Zürich"
CHF 370.– / Monat,2 Zimmer 28m² Wohnfläche,"Bucheggstrasse 6, 8037 Zürich"
