date,open,high,low,close,volume,currency
2018-09-10,0.276,0.2822,0.26,0.2697,29176231.97,XRP
2018-09-11,0.2697,0.2747,0.2526,0.263,22046487.85,XRP
2018-09-12,0.263,0.2732,0.2535,0.2699,17878592.3,XRP
2018-09-13,0.2699,0.2856,0.2674,0.2793,20437354.03,XRP
2018-09-14,0.2792,0.2849,0.2718,0.2762,16042467.56,XRP
2018-09-15,0.2761,0.2846,0.2758,0.2807,6746967.63,XRP
2018-09-16,0.2807,0.2821,0.2743,0.281,6040876.47,XRP
2018-09-17,0.281,0.2834,0.2667,0.2705,16495204.79,XRP
2018-09-18,0.2705,0.3364,0.2692,0.319,69940386.23,XRP
2018-09-19,0.319,0.3352,0.3109,0.3265,47846845.49,XRP
2018-09-20,0.3265,0.4977,0.3216,0.4485,162916185.73,XRP
2018-09-21,0.4485,0.783,0.4265,0.5644,568631938.08,XRP
2018-09-22,0.5644,0.626,0.4923,0.5732,227138626.51,XRP
2018-09-23,0.5733,0.5987,0.5559,0.5713,84150014.45,XRP
2018-09-24,0.5713,0.5833,0.4829,0.4921,113996651.26,XRP
2018-09-25,0.4923,0.5478,0.436,0.5251,189762691.49,XRP
2018-09-26,0.5251,0.5732,0.484,0.5129,221590529.94,XRP
2018-09-27,0.5129,0.5546,0.5065,0.5434,82665931.0,XRP
2018-09-28,0.5434,0.5513,0.5149,0.5396,72690340.6,XRP
2018-09-29,0.5396,0.5955,0.5237,0.5688,96697804.96,XRP
2018-09-30,0.5688,0.6225,0.5589,0.5817,119061374.29,XRP
2018-10-01,0.5817,0.6045,0.5325,0.5769,147631060.19,XRP
2018-10-02,0.5769,0.5796,0.5135,0.5165,74359301.0,XRP
2018-10-03,0.5165,0.5377,0.5067,0.5277,72629765.77,XRP
2018-10-04,0.5277,0.548,0.5248,0.5281,40192913.55,XRP
2018-10-05,0.5281,0.5323,0.5096,0.5195,49240775.92,XRP
2018-10-06,0.5195,0.522,0.4682,0.4877,62429145.39,XRP
2018-10-07,0.4877,0.4896,0.4671,0.482,34312127.95,XRP
2018-10-08,0.482,0.5002,0.4782,0.491,44927184.54,XRP
2018-10-09,0.491,0.4919,0.4697,0.4805,27287509.94,XRP
2018-10-10,0.4805,0.4805,0.4595,0.464,28104329.67,XRP
2018-10-11,0.464,0.464,0.3761,0.3809,100057182.97,XRP
2018-10-12,0.3809,0.4457,0.3763,0.4193,74069966.57,XRP
2018-10-13,0.4193,0.4287,0.4144,0.4194,22651210.67,XRP
2018-10-14,0.4194,0.4273,0.3986,0.4064,24772632.69,XRP
2018-10-15,0.4064,0.5074,0.3964,0.4555,118824784.85,XRP
2018-10-16,0.4555,0.4808,0.4506,0.4774,42920689.69,XRP
2018-10-17,0.4774,0.489,0.465,0.4774,40239758.28,XRP
2018-10-18,0.4774,0.4871,0.4494,0.4619,38358110.6,XRP
2018-10-19,0.4619,0.4656,0.452,0.4567,22726071.95,XRP
2018-10-20,0.4567,0.4686,0.4529,0.4646,15280968.97,XRP
2018-10-21,0.4646,0.4707,0.4596,0.4613,14324747.47,XRP
2018-10-22,0.4613,0.4643,0.4518,0.4575,14791087.13,XRP
2018-10-23,0.4575,0.4805,0.4402,0.4658,45230749.04,XRP
2018-10-24,0.4658,0.4735,0.4579,0.461,23343148.97,XRP
2018-10-25,0.461,0.4688,0.455,0.4604,25873328.03,XRP
2018-10-26,0.4604,0.4665,0.4549,0.4641,20725079.48,XRP
2018-10-27,0.4641,0.4641,0.4547,0.4587,15168156.85,XRP
2018-10-28,0.4587,0.4645,0.4562,0.462,13808045.24,XRP
2018-10-29,0.4621,0.4629,0.4332,0.443,36374055.13,XRP
2018-10-30,0.443,0.4509,0.4414,0.4459,17988564.72,XRP
2018-10-31,0.4459,0.4594,0.4369,0.4524,24713299.85,XRP
2018-11-01,0.4524,0.4595,0.4484,0.4593,16478739.02,XRP
2018-11-02,0.4593,0.4649,0.4561,0.459,30402646.75,XRP
2018-11-03,0.4589,0.4605,0.4541,0.4558,9526240.41,XRP
2018-11-04,0.4558,0.4766,0.4489,0.4686,30237183.85,XRP
2018-11-05,0.4686,0.503,0.4622,0.4993,50247367.37,XRP
2018-11-06,0.4993,0.5669,0.4992,0.5529,119795165.85,XRP
2018-11-07,0.5529,0.5538,0.5263,0.5381,43609109.67,XRP
2018-11-08,0.5381,0.5433,0.4916,0.4944,60576254.1,XRP
2018-11-09,0.4944,0.5188,0.4939,0.5016,36322302.77,XRP
2018-11-10,0.5016,0.513,0.5005,0.5061,15532114.33,XRP
2018-11-11,0.5061,0.5087,0.4958,0.5069,13913309.06,XRP
2018-11-12,0.5069,0.5311,0.5024,0.5209,37083248.27,XRP
2018-11-13,0.5208,0.5286,0.5072,0.5121,37877381.87,XRP
2018-11-14,0.5121,0.5141,0.4112,0.4749,108469800.25,XRP
2018-11-15,0.475,0.4891,0.4273,0.4839,86679038.99,XRP
2018-11-16,0.4839,0.49,0.4619,0.4736,38884656.7,XRP
2018-11-17,0.4736,0.5004,0.4671,0.4943,31460517.68,XRP
2018-11-18,0.4943,0.5272,0.4921,0.5128,50411769.96,XRP
