,Binance Coin,Bitcoin,Bitcoin Cash,Cardano,Chainlink,Dai,Dogecoin,Ethereum,Litecoin,Monero,OKB,Stellar,TRON,Tether,True USD,Wrapped Bitcoin,XRP
2018-09-10,3.2268392141003606,29.205227583487147,351.3226316979426,14.63985945734921,3.1440495763247753,100.12002400480095,10.819038788440736,11.111799807290286,86.05716090320543,67.10426179604262,8.132603406326034,166.17262423714035,29.69425571340334,100.2,100.23006902070621,2.625850045140447e-06,75.44055944055944
2018-09-11,3.1570788258686346,29.071818086522683,331.50199713618207,13.570173726332227,3.3198431769318324,100.12002400480095,9.956730026271055,10.432807983366109,82.12537501973787,66.7174023338407,7.512165450121655,173.9319965126417,28.56701667696109,100.1,100.1300390117035,3.194661202142937e-06,73.56643356643357
2018-09-12,3.1031577528392815,29.26378183829882,326.0456703594845,12.859652547335546,3.2174023017579363,100.02000400080016,9.96445680729408,10.313350500650818,81.66745618190431,65.99441907661085,7.335766423357663,171.66521360069746,28.072884496602846,100.0,100.1300390117035,3.2158820563376774e-06,75.4965034965035
2018-09-13,3.231557307990429,29.979039608628533,350.06405908508555,13.913722428264688,3.465283925635513,100.22004400880175,10.063359604388813,11.904614327009226,86.10453181746408,71.06164383561642,7.54257907542579,179.59895379250216,30.589870290302656,100.1,100.4301290387116,3.5937055255875063e-06,78.12587412587413
2018-09-14,3.335692380278367,29.951378726426487,337.56876931193005,13.593597501463986,3.355254837485772,99.98999799959992,9.449853191160562,11.769379440916442,88.91520606347703,73.95991882293252,7.366180048661801,175.50130775937228,30.574428659666463,100.0,99.78993698109433,2.992140441458353e-06,77.25874125874125
2018-09-15,3.4003976679135914,30.117944339285884,339.4980782274474,13.636541089205545,3.3969900088529155,100.01000200040009,9.579663112347395,12.488378251976402,89.23101215853467,75.65322171486555,8.083941605839415,176.89625108979948,30.65163681284744,100.0,99.75992797839352,3.008748066480323e-06,78.51748251748252
2018-09-16,3.3505206753614396,30.027249894135938,339.3548873313739,13.634589107944564,3.4994308840268116,100.02000400080016,10.069541029207233,12.40329296947636,89.68893099636823,74.22628107559615,8.083941605839415,180.2092414995641,30.74428659666461,100.0,100.3300990297089,1.0799569493453598e-05,78.60139860139861
2018-09-17,3.1587638594008016,28.914534338976488,315.8791167382621,12.883076322467305,3.402048817503478,100.22004400880175,9.692474115283572,11.04643627901211,82.37801989578399,67.34525621511922,7.4513381995133825,170.8805579773322,28.39715873996294,100.1,102.43072921876563,6.357029800076487e-06,75.66433566433567
2018-09-18,3.2123479257237215,29.306866317588486,327.62830657924485,13.93714620339645,3.6663715694953836,99.98999799959992,9.221140472878998,11.742332463697885,85.42554871309017,71.03627600202942,8.004866180048662,181.51700087183957,29.802347127856706,100.1,100.03000900270081,4.3917941724766446e-06,89.23076923076924
2018-09-19,3.245374582954201,29.548656600075823,324.5459341321878,14.208471598672654,4.183634754015429,100.42008401680336,8.66481223922114,11.820656001893289,85.78872572240644,69.558599695586,8.217761557177615,179.33740191804708,30.311920938851145,100.1,100.53015904771429,4.427777360024247e-06,91.32867132867133
2018-09-20,3.386917399656253,30.04322763243628,344.6378777601929,15.619754050361115,4.49095737953712,100.42008401680336,8.788440735589553,12.66474708258907,89.452076425075,73.6111111111111,8.80778588807786,201.743679163034,32.90611488573194,100.2,100.23006902070621,1.020446293016632e-05,125.45454545454547
2018-09-21,3.5284602163583054,31.226134407874717,377.51902931645185,17.157915284013274,4.5048691033261665,100.12002400480095,8.776077885952711,13.956803723467196,96.17874624980261,78.73541349568747,10.04257907542579,217.26242371403663,38.63495985176035,100.0,100.03000900270081,5.614299903260584e-06,157.8741258741259
2018-09-22,3.457688808007279,31.016207245119286,371.5426934961188,16.20144446613313,4.321487289743266,99.9499899979996,8.90125173852573,13.568003425950447,95.65766619295752,77.56849315068493,9.9330900243309,209.06713164777685,35.778258184064235,99.92,100.1300390117035,5.577394069878428e-06,160.33566433566435
2018-09-23,3.464428942135948,30.952019221311527,371.2789207928254,17.386297091547924,4.358163652459846,99.77995599119825,9.08360377066914,13.77761749939426,96.90510026843519,77.53678335870117,9.531630170316301,245.24847428073232,36.75108091414454,99.92,100.23006902070621,5.254468027784557e-06,159.8041958041958
2018-09-24,3.3801772655275832,30.40171081863743,351.42814077925993,16.20144446613313,4.236752244846339,99.76995399079817,8.893524957502704,12.850131572274595,91.61534817621981,72.85641806189751,9.263990267639901,225.02179598953794,34.17232859789994,99.99,100.0,4.252013328541726e-06,137.65034965034965
2018-09-25,3.3063727968186565,29.72847542360632,325.6989976637275,15.811048213937148,4.119134943720754,100.12002400480095,8.856436408592181,12.351452929807458,90.76267171956418,73.8140537798072,8.777372262773723,220.83696599825635,32.813465101914765,99.94,100.1300390117035,4.454995412143588e-06,146.8811188811189
2018-09-26,3.2689650524045426,29.843275011509974,373.2685206119527,15.615850087839158,4.38345769571266,99.7999599919984,8.99088239839283,12.070277062472883,90.38370440549504,72.9515474378488,8.753041362530412,212.99040976460333,32.489190858554664,99.96000000000001,100.3300990297089,4.17404975552192e-06,143.4685314685315
2018-09-27,3.386917399656253,30.87550155552056,426.58075212902247,17.077884052313095,4.392310610851145,99.92998599719944,9.154690156080976,12.908733356248133,99.90525817148271,75.56443429731101,9.09367396593674,226.4167393199651,34.75911056207535,99.94,100.3300990297089,4.627068860287892e-06,152.0
